store,item,unit,price_per_unit
Winco,Sirloin Steak,pound,8.19
Winco,Salmon Fillet,package,9.99
Winco,Shrimp,package,10.56
Winco,Chicken Drumsticks,pound,2.31
Winco,Sirloin Steak,pound,7.69
Winco,Hot Dogs,pound,4.06
Winco,Pork Chops,package,3.5
Winco,Sirloin Steak,pound,8.35
Winco,Tilapia Fillet,package,7.79
Winco,Sirloin Steak,pound,8.41
Winco,Beef Brisket,package,7.09
Winco,Pork Shoulder,pound,2.18
Winco,Ground Chicken,package,3.01
Winco,Cod Fillet,package,8.99
Winco,Ground Turkey,pound,3.15
Winco,Bacon,package,5.72
Winco,Sirloin Steak,package,7.85
Winco,Ribeye Steak,package,12.11
Winco,Ground Beef,package,5.15
Winco,Pork Chops,package,4.36
Winco,Lamb Chops,package,13.37
Winco,Bacon,pound,5.11
Winco,Ribeye Steak,pound,11.57
Winco,Ground Turkey,package,3.78
Winco,Beef Brisket,package,6.8
Winco,Bacon,package,5.54
Winco,Pork Shoulder,pound,2.57
Winco,Ground Beef,package,5.24
Winco,Tilapia Fillet,package,7.45
Winco,Cod Fillet,package,8.81
Winco,Ground Turkey,package,3.33
Winco,Ground Beef,pound,4.52
Winco,Chicken Breast,package,2.69
Winco,Turkey Breast,package,3.8
Winco,Cod Fillet,package,8.77
Winco,Sausage Links,pound,4.95
Winco,Turkey Breast,pound,4.07
Winco,Bacon,package,5.13
Winco,Ground Chicken,package,3.05
Winco,Chicken Drumsticks,package,1.83
Winco,Chicken Thighs,package,2.38
Winco,Pork Shoulder,pound,2.42
Winco,Sirloin Steak,pound,7.76
Winco,Salmon Fillet,pound,9.56
Winco,Pork Shoulder,pound,2.04
Winco,Ground Chicken,pound,2.82
Winco,Ribeye Steak,package,11.59
Winco,Tilapia Fillet,pound,7.95
Winco,Chicken Breast,pound,2.62
Winco,Chicken Drumsticks,pound,2.26
Winco,Chicken Breast,package,3.32
Winco,Ground Beef,pound,4.79
Winco,Sausage Links,pound,4.96
Winco,Turkey Breast,pound,3.84
Winco,Chicken Breast,pound,3.41
Winco,Ground Turkey,pound,3.27
Winco,Beef Brisket,package,6.67
Winco,Ground Beef,pound,5.15
Winco,Bacon,pound,5.29
Winco,Sausage Links,pound,5.29
Winco,Chicken Drumsticks,package,2.14
Winco,Cod Fillet,package,9.23
Winco,Salmon Fillet,pound,10.05
Winco,Tilapia Fillet,package,7.88
Winco,Sausage Links,pound,5.45
Winco,Sausage Links,package,5.36
Winco,Shrimp,package,11.04
Winco,Hot Dogs,pound,4.26
Winco,Hot Dogs,pound,3.99
Winco,Cod Fillet,package,9.09
Winco,Pork Chops,pound,3.68
Winco,Ribeye Steak,package,11.66
Winco,Ground Chicken,pound,3.38
Winco,Turkey Breast,package,4.39
Winco,Chicken Drumsticks,package,1.73
Winco,Salmon Fillet,pound,10.39
Winco,Ground Turkey,package,3.26
Winco,Pork Chops,package,4.17
Winco,Ground Beef,package,4.88
Winco,Ground Chicken,package,3.45
Winco,Pork Shoulder,pound,2.98
Winco,Hot Dogs,package,3.82
Winco,Chicken Thighs,package,2.02
Winco,Turkey Breast,package,3.99
Winco,Ground Turkey,pound,3.39
Winco,Turkey Breast,package,3.68
Winco,Lamb Chops,pound,12.75
Winco,Cod Fillet,pound,8.67
Winco,Chicken Thighs,pound,2.97
Winco,Salmon Fillet,pound,9.6
Winco,Pork Shoulder,pound,2.29
Winco,Ground Beef,package,5.06
Winco,Chicken Drumsticks,package,2.15
Winco,Ground Beef,pound,4.77
Winco,Lamb Chops,pound,12.86
Winco,Hot Dogs,package,4.35
Winco,Chicken Drumsticks,package,2.28
Winco,Ground Turkey,pound,3.06
Winco,Chicken Drumsticks,pound,1.97
Winco,Tilapia Fillet,package,7.27
Winco,Ground Chicken,pound,3.45
Winco,Chicken Breast,package,2.81
Winco,Sausage Links,package,4.79
Winco,Cod Fillet,pound,8.91
Winco,Cod Fillet,package,8.64
Winco,Shrimp,package,11.03
Winco,Sirloin Steak,package,7.88
Winco,Sausage Links,package,4.68
Winco,Tilapia Fillet,package,7.78
Winco,Tilapia Fillet,package,7.99
Winco,Ribeye Steak,pound,11.69
Winco,Chicken Drumsticks,package,1.93
Winco,Chicken Thighs,pound,2.15
Winco,Shrimp,pound,11.21
Winco,Chicken Breast,pound,2.95
Winco,Bacon,package,5.82
Winco,Ground Turkey,package,3.87
Winco,Ribeye Steak,pound,12.22
Winco,Sirloin Steak,package,7.67
Winco,Chicken Drumsticks,package,1.51
Winco,Ground Turkey,pound,3.8
Winco,Bacon,package,5.31
Winco,Pork Shoulder,pound,2.13
Winco,Lamb Chops,pound,12.96
Winco,Sirloin Steak,pound,8.34
Winco,Chicken Breast,package,2.89
Winco,Lamb Chops,package,12.56
Winco,Pork Chops,package,3.52
Winco,Ground Beef,pound,4.86
Winco,Sirloin Steak,package,7.68
Winco,Lamb Chops,pound,13.0
Winco,Chicken Drumsticks,pound,2.04
Winco,Chicken Drumsticks,package,1.92
Winco,Ground Beef,pound,4.82
Winco,Pork Chops,package,3.56
Winco,Ground Beef,package,4.88
Winco,Beef Brisket,pound,7.03
Winco,Ground Chicken,package,3.06
Winco,Ribeye Steak,pound,12.46
Winco,Ground Turkey,package,3.8
Winco,Pork Chops,package,4.01
Winco,Pork Shoulder,pound,2.09
Winco,Chicken Breast,package,3.21
Winco,Shrimp,pound,10.85
Winco,Cod Fillet,package,9.24
Winco,Bacon,pound,5.23
Winco,Lamb Chops,pound,13.36
Winco,Sausage Links,package,4.75
Winco,Beef Brisket,pound,6.57
Winco,Ground Beef,pound,4.95
Winco,Beef Brisket,pound,7.47
Winco,Chicken Drumsticks,package,1.95
Winco,Salmon Fillet,package,10.34
Winco,Ground Chicken,pound,3.4
Winco,Chicken Drumsticks,pound,2.13
Winco,Chicken Breast,package,3.02
Winco,Ground Chicken,package,3.45
Winco,Sausage Links,pound,5.45
Winco,Beef Brisket,package,6.93
Winco,Cod Fillet,pound,8.87
Winco,Pork Chops,pound,3.89
Winco,Shrimp,package,11.39
Winco,Chicken Drumsticks,pound,2.39
Winco,Tilapia Fillet,package,7.57
Winco,Salmon Fillet,package,9.94
Winco,Ground Chicken,package,3.02
Winco,Tilapia Fillet,package,7.34
Winco,Chicken Drumsticks,pound,2.32
Winco,Ground Beef,package,5.12
Winco,Ground Chicken,package,3.21
Winco,Cod Fillet,package,9.05
Winco,Chicken Thighs,pound,2.0
Winco,Ground Chicken,package,3.68
Winco,Ribeye Steak,pound,11.63
Winco,Lamb Chops,pound,12.55
Winco,Ground Chicken,pound,3.01
Winco,Bacon,package,5.66
Winco,Sirloin Steak,pound,8.37
Winco,Lamb Chops,pound,13.28
Winco,Ribeye Steak,pound,11.85
Winco,Shrimp,pound,10.96
Winco,Chicken Drumsticks,package,2.12
Winco,Ground Beef,pound,4.69
Winco,Cod Fillet,package,9.34
Winco,Pork Chops,pound,4.06
Winco,Chicken Drumsticks,pound,2.04
Winco,Salmon Fillet,package,10.33
Winco,Turkey Breast,package,3.72
Winco,Ribeye Steak,package,12.34
Winco,Turkey Breast,pound,3.66
Winco,Ground Beef,package,4.8
Winco,Pork Shoulder,package,2.37
Winco,Pork Shoulder,pound,1.99
Winco,Salmon Fillet,package,10.2
Winco,Ground Beef,package,4.94
Winco,Chicken Drumsticks,pound,2.32
Winco,Cod Fillet,pound,8.84
Winco,Shrimp,pound,11.12
Winco,Chicken Breast,package,2.69
Winco,Ground Chicken,pound,3.03
Winco,Sirloin Steak,pound,7.54
Winco,Chicken Breast,pound,2.64
